@id,rdf:type,skos:inScheme,skos:topConceptOf,skos:broader,skos:prefLabel,rdfs:label,skos:altLabel[1],skos:altLabel[2],skos:altLabel[3],skos:altLabel[4],skos:altLabel[5],skos:altLabel[6],skos:altLabel[7],skos:note,pav:version
iskouk:TJOXPLHO,skos:Concept,iskouk:subjects,,iskouk:PRUIHEDJ,Parametric search,,,,,,,,,,
iskouk:M43I7DWD,skos:Concept,iskouk:subjects,,iskouk:PRUIHEDJ,Search engines,,Search applications,,,,,,,,
iskouk:W01ZMGRG,skos:Concept,iskouk:subjects,,iskouk:M43I7DWD,Google,,,,,,,,,,
iskouk:3LRPI0M5,skos:Concept,iskouk:subjects,,iskouk:PRUIHEDJ,Search strategies,,,,,,,,,,
iskouk:3Y4HHW6Y,skos:Concept,iskouk:subjects,iskouk:subjects,,Information technology,,,,,,,,,,
iskouk:G1K3L21D,skos:Concept,iskouk:subjects,,iskouk:3Y4HHW6Y,Artificial intelligence,,,,,,,,,,
iskouk:6ZA4RUD4,skos:Concept,iskouk:subjects,,iskouk:G1K3L21D,Machine learning,,,,,,,,,,
iskouk:LROL2WB8,skos:Concept,iskouk:subjects,,iskouk:G1K3L21D,Natural language processing,,NLP,,,,,,,,
iskouk:HHLPD626,skos:Concept,iskouk:subjects,,iskouk:3Y4HHW6Y,Cloud computing,,,,,,,,,,
iskouk:I2423DI3,skos:Concept,iskouk:subjects,,iskouk:3Y4HHW6Y,GIS technology,,,,,,,,,,
iskouk:97SKT2V2,skos:Concept,iskouk:subjects,,iskouk:3Y4HHW6Y,Grid computing,,,,,,,,,,
iskouk:080P8HOA,skos:Concept,iskouk:subjects,,iskouk:3Y4HHW6Y,Internet of things,,,,,,,,,,
iskouk:0V9V587N,skos:Concept,iskouk:subjects,,iskouk:080P8HOA,RFID,,,,,,,,,,
iskouk:LZ2G0H2V,skos:Concept,iskouk:subjects,,iskouk:3Y4HHW6Y,Web 2.0,,Social web,,,,,,,,
iskouk:NTXH2DJK,skos:Concept,iskouk:subjects,,iskouk:3Y4HHW6Y,Web 3.0,,Semantic web,,,,,,,,
iskouk:8N16QA77,skos:Concept,iskouk:subjects,iskouk:subjects,,Knowledge organization bodies,,,,,,,,,,
iskouk:NB7Y7HXC,skos:Concept,iskouk:subjects,,iskouk:8N16QA77,CILIP,,,,,,,,,,
iskouk:OL5LP47Q,skos:Concept,iskouk:subjects,,iskouk:8N16QA77,Classification Research Group,,CRG,,,,,,,,
iskouk:KLCYHC05,skos:Concept,iskouk:subjects,,iskouk:8N16QA77,KIDMM,,,,,,,,,,
iskouk:JT5SS634,skos:Concept,iskouk:subjects,,iskouk:8N16QA77,NKOS,,,,,,,,,,
iskouk:05RWVAIH,skos:Concept,iskouk:subjects,iskouk:subjects,,Knowledge organization people,,,,,,,,,,
iskouk:OXW5VV3R,skos:Concept,iskouk:subjects,,iskouk:05RWVAIH,Brian Vickery,,Vickery,,,,,,,,
iskouk:JACQY81Q,skos:Concept,iskouk:subjects,,iskouk:05RWVAIH,Charles Cutter,,Cutter,,,,,,,,
iskouk:9S5PO87Q,skos:Concept,iskouk:subjects,,iskouk:05RWVAIH,Derek Austin,,,,,,,,,,
iskouk:3GJL9UR3,skos:Concept,iskouk:subjects,,iskouk:05RWVAIH,Douglas Foskett,,D. J. Foskett,Foskett,,,,,,,
iskouk:25BWYBCX,skos:Concept,iskouk:subjects,,iskouk:05RWVAIH,Jason Farradane,,Farradane,,,,,,,,
iskouk:YQYGP9U3,skos:Concept,iskouk:subjects,,iskouk:05RWVAIH,Paul Otlet,,Otlet,,,,,,,,
iskouk:MFPDBEN0,skos:Concept,iskouk:subjects,,iskouk:05RWVAIH,S. R. Ranganathan,,Ranganathan,,,,,,,,
iskouk:O2UECUAK,skos:Concept,iskouk:subjects,iskouk:subjects,,Knowledge organization processes,,,,,,,,,,
iskouk:G7ARP36B,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Cataloguing,,Collection description,,,,,,,,
iskouk:9OQMAHBK,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Content analysis,,Text analysis,Subject analysis,,,,,,,
iskouk:L1Z7ZXDS,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Data mining,,,,,,,,,,
iskouk:L0C9LMAF,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Domain modelling,,Domain analysis,,,,,,,,
iskouk:3LYHQWO2,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Facet analysis,,,,,,,,,,
iskouk:59ITCJ1Y,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Indexing,,,,,,,,,,
iskouk:FG4WCKOZ,skos:Concept,iskouk:subjects,,iskouk:59ITCJ1Y,Post-coordinated indexing,,,,,,,,,,
iskouk:BM9RWKAB,skos:Concept,iskouk:subjects,,iskouk:59ITCJ1Y,Pre-coordinated indexing,,PRECIS,,,,,,,,
iskouk:JJROM0NZ,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Information auditing,,Information audits,Information inventories,,,,,,,
iskouk:EIWTP7W4,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Interoperability,,,,,,,,,,
iskouk:4JNSOS6M,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Knowledge sharing,,Information sharing,,,,,,,,
iskouk:4OX6PDD7,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,KOS development,,Vocabulary building,Vocabulary management,Vocabulary control,,,,,,
iskouk:ZRJTK0W1,skos:Concept,iskouk:subjects,,iskouk:4OX6PDD7,Metadata design,,Metadata management,,,,,,,,
iskouk:Q79A7LQ5,skos:Concept,iskouk:subjects,,iskouk:4OX6PDD7,Taxonomy development,,Taxonomy management,,,,,,,,
iskouk:ZWK2RJRN,skos:Concept,iskouk:subjects,,iskouk:4OX6PDD7,Thesaurus development,,Thesaurus management,,,,,,,,
iskouk:QBTOI3AC,skos:Concept,iskouk:subjects,,iskouk:4OX6PDD7,Ontology development,,Ontology management,,,,,,,,
iskouk:V8W6KT2V,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Mapping KOS,,,,,,,,,,
iskouk:S11XYTIH,skos:Concept,iskouk:subjects,,iskouk:V8W6KT2V,Mapping metadata,,Metadata mapping,Metadata crosswalks,,,,,,,
iskouk:UHDPFFCI,skos:Concept,iskouk:subjects,,iskouk:V8W6KT2V,Mapping taxonomies,,Taxonomy mapping,Taxonomy crosswalks,Vocaulary crosswalks,,,,,,
iskouk:9P3UXGWG,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Personalisation,,,,,,,,,,
iskouk:FC1FP29D,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Sentiment analysis,,,,,,,,,,
iskouk:16LVUVBG,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Tagging,,Keywording,,,,,,,,
iskouk:XPBRH3E0,skos:Concept,iskouk:subjects,,iskouk:16LVUVBG,Autocategorization,,Autocategorisation,Automatic document categorisation,Automatic tagging,Autotagging,Automatic metadata,Autoclassification,Text classification,,
iskouk:00I8GP8X,skos:Concept,iskouk:subjects,,iskouk:16LVUVBG,Social tagging,,,,,,,,,,
iskouk:7EYIQGVX,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Text mining,,Semantic mining,,,,,,,,
iskouk:QZVKDLQV,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,User-centred design,,User experience design,UX design,User interface design,,,,,,
iskouk:8LP5T9WT,skos:Concept,iskouk:subjects,,iskouk:QZVKDLQV,User-centred research,,,,,,,,,,
iskouk:1VL1HVML,skos:Concept,iskouk:subjects,,iskouk:O2UECUAK,Website design,,,,,,,,,,
iskouk:C8FTPR46,skos:Concept,iskouk:subjects,,iskouk:1VL1HVML,Search optimisation,,,,,,,,,,
iskouk:PYDVF1ME,skos:Concept,iskouk:subjects,iskouk:subjects,,Knowledge organization standards,,KOS standards,,,,,,,,
iskouk:840TSNC5,skos:Concept,iskouk:subjects,,iskouk:PYDVF1ME,AACR2,,,,,,,,,,
